companies,ratings,reviews,company_type,jobs,salaries
TCS,3.6,98.4k,IT Services & Consulting | Bangalore / Bengaluru +413 other locations,9.2L,11.1k
Accenture,3.8,63.4k,IT Services & Consulting | Bangalore / Bengaluru +227 other locations,6.1L,8.6k
Wipro,3.7,57.4k,IT Services & Consulting | Bangalore / Bengaluru +358 other locations,4.6L,6.1k
Cognizant,3.7,54.5k,IT Services & Consulting | Hyderabad / Secunderabad +212 other locations,5.9L,5.9k
Capgemini,3.7,46.2k,IT Services & Consulting | Bangalore / Bengaluru +172 other locations,4.6L,5.1k
HDFC Bank,3.9,43.6k,Banking | Mumbai +1693 other locations,1.4L,2.5k
Infosys,3.6,42.9k,IT Services & Consulting | Bangalore / Bengaluru +228 other locations,4.9L,7.9k
ICICI Bank,4.0,42k,Banking | Mumbai +1392 other locations,1.5L,2.6k
HCLTech,3.5,39.7k,IT Services & Consulting | Chennai +216 other locations,3.5L,4.1k
Tech Mahindra,3.5,38.2k,IT Services & Consulting | Hyderabad / Secunderabad +320 other locations,2.7L,4.1k
Genpact,3.8,35.9k,IT Services & Consulting | Hyderabad / Secunderabad +160 other locations,2.2L,3.4k
Teleperformance,3.9,32.5k,BPO | Mumbai +245 other locations,92.6k,1.9k
Concentrix Corporation,3.7,28.5k,BPO | Bangalore / Bengaluru +165 other locations,1.2L,1.8k
Axis Bank,3.7,28.3k,Banking | Mumbai +1421 other locations,1L,1.6k
Amazon,4.0,27.3k,Internet | Bangalore / Bengaluru +498 other locations,1.3L,5.4k
Jio,4.0,25.7k,Telecom | Mumbai +1416 other locations,61.9k,2.2k
iEnergizer,4.7,24.9k,BPO | Noida +44 other locations,22.9k,780
Reliance Retail,3.9,24.2k,Retail | Mumbai +1086 other locations,67.1k,1.7k
IBM,4.0,23.5k,IT Services & Consulting | Bangalore / Bengaluru +159 other locations,2.1L,2.5k
LTIMindtree,3.7,22.7k,IT Services & Consulting | Bangalore / Bengaluru +133 other locations,1.8L,3k
